Model Tracking,Lifetime Tally,Lifetime %,Current Season,Weekly Tally,%
NFL (ML) 🏈,181/284,63.7%,,,
NFL (O/U) 🏈,155/285,54.4%,,,
CFB (ML) 🏈,708/923,76.7%,,,
CFB (O/U) 🏈,493/923,53.4%,,,
NBA (ML) 🏀,1402/2021,69.4%,927/1351,1/4,
NBA (O/U's) 🏀,714/1337,53.4%,714/1337,3/4,
CBB (ML) 🏀,4624/6444,71.8%,3962/5480,,
CBB (O/U's) 🏀,2884/5404,53.4%,2925/5480,,
MLB (ML) ⚾,1711/3041,56.3%,508/963,79/158,
MLB (NRFI/YRFI) ⚾,1399/2490,56.2%,389/739,51/104,
MLB (NRFI*) ⚾,611/1110,55.0%,217/422,24/61,
MLB (YRFI*) ⚾,476/836,56.9%,172/317,27/43,
MLB (O/U*) ⚾,1277/2346,54.4%,505/963,73/158,
UCL (ML) ⚽,100/174,57.5%,5/8,,
UCL (Double Chance) ⚽,129/174,74.1%,6/8,,
NHL (ML) 🏒,33/63,52.4%,33/63,5/6,
NHL (O/U) 🏒,35/63,55.6%,35/63,2/6,
